                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.739,                 4.9756,                 3.9998,                0.00106,                0.14561,                0.00195,                 0.0006,                 3.3158,                 4.5896,                  3.699,               0.003332,               0.003332,               0.003332
                      2,                 3.0414,                 4.3955,                 3.2975,                0.00431,                0.21377,                0.00902,                 0.0042,                 3.3113,                 4.7127,                 3.4526,              0.0066587,              0.0066587,              0.0066587
                      3,                 2.7382,                 4.0799,                 2.8458,                0.67335,                0.08148,                0.06063,                0.03174,                 2.6931,                 4.2086,                 2.8634,              0.0099788,              0.0099788,              0.0099788
                      4,                 2.6084,                   3.92,                 2.6649,                0.69834,                 0.0748,                0.06596,                0.03318,                 2.5713,                 3.8348,                 2.6564,              0.0099703,              0.0099703,              0.0099703
                      5,                  2.521,                 3.7752,                 2.5465,                0.54641,                  0.127,                0.07542,                0.03601,                 2.5236,                 3.7177,                 2.6406,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.4605,                 3.6857,                 2.4918,                0.36074,                0.11149,                 0.0833,                0.04359,                 2.4626,                 3.7607,                 2.5762,              0.0099505,              0.0099505,              0.0099505
                      7,                  2.423,                 3.5983,                 2.4608,                0.54328,                0.13032,                0.08974,                0.04403,                 2.3975,                 3.4307,                 2.5031,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.3889,                 3.5003,                 2.4143,                0.33533,                0.17451,                0.10237,                0.04584,                 2.3864,                 3.4325,                 2.4988,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.3566,                 3.4643,                 2.3831,                0.33718,                0.16042,                0.09274,                0.04419,                 2.3457,                 3.2931,                  2.433,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.3386,                 3.4231,                  2.375,                0.51334,                0.17161,                0.09186,                0.04448,                 2.3354,                 3.2884,                 2.4051,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.3221,                 3.3635,                 2.3425,                0.44669,                0.14603,                0.11651,                0.05947,                 2.3307,                 3.1456,                 2.4178,               0.009901,               0.009901,               0.009901
                     12,                 2.2866,                  3.315,                 2.3152,                 0.6825,                0.14118,                0.15294,                0.07149,                 2.2662,                 3.1695,                 2.3651,              0.0098911,              0.0098911,              0.0098911
                     13,                  2.271,                 3.2769,                 2.2972,                0.32126,                0.21602,                0.14937,                0.07043,                 2.2469,                 3.0527,                 2.3176,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.2577,                 3.2379,                 2.2892,                0.42246,                0.18951,                0.14422,                0.06154,                 2.2518,                 2.9944,                 2.3319,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.2452,                 3.2161,                 2.2754,                0.36906,                0.23008,                0.16055,                0.07534,                 2.2091,                 2.9322,                 2.2769,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.2363,                 3.1671,                 2.2485,                 0.4025,                0.20631,                0.16122,                0.08021,                 2.2256,                 2.8971,                 2.2921,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.2119,                 3.1296,                 2.2355,                0.42494,                0.21006,                 0.1974,                0.09723,                 2.1811,                 2.8063,                 2.2571,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.2039,                 3.1156,                 2.2246,                0.39437,                0.23615,                0.19637,                0.09196,                 2.1974,                 2.8231,                 2.2798,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.2085,                 3.0811,                 2.2157,                0.38906,                 0.2194,                0.19407,                0.08542,                 2.2182,                 2.7454,                 2.2909,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.1817,                 3.0215,                 2.1981,                0.40603,                0.27537,                0.19796,                0.09543,                 2.1654,                 2.7765,                 2.2466,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.1767,                 3.0085,                 2.1945,                0.42173,                0.24163,                0.23727,                0.11144,                 2.1558,                 2.6689,                 2.2386,               0.009802,               0.009802,               0.009802
                     22,                 2.1559,                 2.9677,                 2.1656,                0.42102,                 0.2653,                0.24601,                0.10915,                  2.129,                 2.6712,                 2.2147,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.1518,                 2.9367,                  2.164,                0.42397,                0.25161,                0.25873,                0.11045,                 2.1473,                 2.6218,                 2.2077,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.1473,                 2.9205,                 2.1606,                 0.4503,                0.26743,                0.23024,                0.10799,                 2.1222,                 2.6019,                 2.2137,              0.0097723,              0.0097723,              0.0097723
                     25,                 2.1426,                 2.9103,                 2.1428,                0.43703,                0.28041,                0.24071,                0.12068,                 2.1251,                 2.5805,                 2.1998,              0.0097624,              0.0097624,              0.0097624
                     26,                 2.1226,                 2.8826,                 2.1452,                0.40235,                 0.3105,                0.22941,                0.10611,                  2.103,                 2.5607,                 2.2181,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.1239,                 2.8589,                 2.1318,                0.46143,                0.29535,                0.26573,                0.11926,                 2.0788,                 2.5568,                 2.1526,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.1108,                 2.8236,                 2.1147,                0.38157,                0.36978,                0.26187,                0.12401,                  2.072,                 2.5058,                 2.1555,              0.0097327,              0.0097327,              0.0097327
                     29,                 2.1155,                  2.816,                 2.1239,                0.41439,                 0.3299,                0.25591,                0.11937,                 2.0688,                 2.4788,                  2.163,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.1024,                 2.8039,                 2.1266,                0.38783,                0.38566,                0.29038,                0.14489,                 2.0589,                 2.4451,                 2.1394,              0.0097129,              0.0097129,              0.0097129
