                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7675,                 4.9524,                 4.0841,                0.62022,                 0.0051,                0.01254,                0.00433,                 3.4342,                 4.7862,                 3.8144,              0.0033319,              0.0033319,              0.0033319
                      2,                 3.0495,                 4.2498,                 3.3929,                0.68155,                0.07778,                0.05771,                 0.0282,                 2.8309,                 4.1279,                 3.0997,              0.0066587,              0.0066587,              0.0066587
                      3,                 2.6552,                 3.9565,                 2.8911,                0.55441,                0.03769,                0.06458,                0.02877,                 2.6587,                 3.9097,                 2.8803,              0.0099788,              0.0099788,              0.0099788
                      4,                 2.5542,                 3.7841,                 2.6925,                0.51562,                  0.097,                 0.0659,                0.03129,                 2.5086,                 3.6293,                 2.6784,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.4628,                 3.6145,                 2.5659,                0.57191,                0.10673,                0.10199,                0.04111,                 2.4671,                 3.4167,                 2.6209,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.3987,                 3.4858,                 2.4774,                0.38546,                0.17746,                0.10454,                0.04589,                 2.4094,                 3.3927,                 2.5521,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.3428,                 3.3581,                    2.4,                0.57054,                0.15039,                0.12177,                0.04871,                 2.3444,                 3.1914,                  2.476,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.2996,                 3.2819,                 2.3624,                0.39226,                0.20434,                0.13767,                 0.0674,                 2.3113,                 3.0954,                 2.4304,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.2646,                  3.199,                 2.3187,                0.51633,                0.19789,                0.16274,                0.08324,                 2.2922,                  2.941,                 2.3836,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.2282,                 3.1083,                 2.2884,                0.37958,                0.24637,                0.15357,                0.06623,                 2.2469,                 2.8967,                 2.3853,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.1982,                 3.0704,                 2.2588,                 0.4089,                0.22454,                0.16192,                0.07767,                 2.2005,                 2.8479,                 2.3035,               0.009901,               0.009901,               0.009901
                     12,                 2.1885,                 2.9832,                 2.2258,                0.46169,                0.25156,                0.21852,                0.10786,                    2.2,                 2.7829,                 2.3027,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.1538,                  2.908,                  2.199,                0.43079,                0.30115,                0.22057,                0.09587,                 2.1444,                 2.6431,                  2.267,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.1191,                 2.8514,                 2.1878,                0.49448,                0.27218,                0.25604,                0.11293,                  2.107,                 2.5764,                   2.23,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.1012,                 2.7943,                 2.1592,                 0.4848,                0.30218,                0.25822,                 0.1192,                 2.0935,                 2.5808,                 2.2278,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.0702,                 2.7517,                 2.1356,                0.54804,                0.28944,                0.30611,                0.14274,                 2.0596,                 2.4543,                 2.1921,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.0642,                 2.6768,                 2.1243,                0.59087,                0.31569,                0.31911,                0.15271,                  2.069,                  2.404,                 2.2094,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.0478,                 2.6409,                 2.1119,                0.59438,                0.31221,                0.34459,                0.15233,                 2.0283,                  2.405,                 2.1735,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.0387,                 2.5836,                 2.0909,                0.56179,                0.31111,                0.33227,                0.16092,                 2.0415,                 2.3917,                 2.1542,              0.0098218,              0.0098218,              0.0098218
                     20,                  2.019,                 2.5313,                 2.0807,                 0.6112,                0.32235,                0.34937,                0.16277,                  2.028,                 2.2902,                 2.1518,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.0105,                 2.5309,                 2.0621,                0.51227,                0.41745,                  0.366,                0.16282,                 1.9902,                 2.2654,                 2.1433,               0.009802,               0.009802,               0.009802
                     22,                 1.9927,                 2.4647,                 2.0434,                0.58423,                0.33821,                0.36563,                0.17969,                 1.9695,                 2.2011,                 2.0864,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.9856,                 2.4435,                 2.0437,                0.36282,                0.48289,                0.40057,                0.18962,                 1.9798,                 2.1957,                 2.1072,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.9678,                 2.3749,                 2.0145,                0.54002,                0.44872,                0.42637,                0.20538,                 1.9644,                 2.1049,                 2.0782,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.9509,                 2.3632,                 2.0098,                 0.4891,                0.47331,                0.42706,                0.21131,                 1.9236,                  2.123,                 2.0572,              0.0097624,              0.0097624,              0.0097624
                     26,                  1.947,                 2.3204,                 2.0017,                0.42828,                0.42776,                0.38746,                0.19091,                 1.9477,                 2.1431,                 2.0807,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.9388,                 2.2789,                 1.9807,                0.49941,                0.42878,                0.43487,                0.22268,                 1.9319,                 2.0684,                 2.0617,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.9181,                 2.2745,                 1.9777,                0.55821,                0.52844,                0.46267,                0.23888,                 1.9348,                  2.006,                  2.079,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.9159,                 2.2328,                 1.9673,                0.59855,                0.44642,                0.44516,                0.21642,                 1.9287,                 1.9859,                 2.0456,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.9183,                  2.214,                 1.9642,                0.64165,                0.49043,                0.48242,                0.24202,                 1.9309,                  1.979,                 2.0687,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.8995,                 2.1896,                 1.9464,                0.55632,                 0.5076,                0.46883,                0.24057,                 1.8838,                 1.9537,                 2.0225,               0.009703,               0.009703,               0.009703
                     32,                 1.8978,                 2.1588,                 1.9408,                0.58456,                0.51844,                0.49318,                0.24376,                 1.8767,                  1.965,                 2.0208,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.8794,                 2.1365,                 1.9286,                0.62723,                0.47185,                0.48355,                0.22602,                 1.8885,                 1.9524,                 2.0253,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.8786,                 2.1143,                 1.9283,                0.60559,                0.48766,                0.48336,                0.23849,                 1.8839,                 1.9088,                 1.9967,              0.0096733,              0.0096733,              0.0096733
