                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.8907,5.5941,4.1677,0.00866,0.00069,0.00024,0.0001,3.9471,5.7292,4.2306,0.0033326,0.0033326,0.0033326
2,3.4705,4.6534,3.6961,0.00254,0.31802,0.03137,0.01383,2.9367,4.2772,3.1913,0.0066528,0.0066528,0.0066528
3,2.8068,4.2406,2.9932,0.42066,0.11453,0.03064,0.01322,2.7499,4.125,2.913,0.0099597,0.0099597,0.0099597
4,2.6261,4.0881,2.7658,0.00764,0.39994,0.03733,0.01578,2.6034,4.0241,2.7597,0.0099406,0.0099406,0.0099406
5,2.5286,3.9429,2.6417,0.51922,0.09573,0.07823,0.04086,2.5298,3.9966,2.6499,0.0099208,0.0099208,0.0099208
6,2.4938,3.8457,2.5622,0.90916,0.06667,0.09403,0.04252,2.4905,3.7602,2.5992,0.009901,0.009901,0.009901
7,2.4342,3.716,2.5119,0.5214,0.13605,0.09088,0.04605,2.4423,3.5318,2.5367,0.0098812,0.0098812,0.0098812
8,2.3906,3.6523,2.4658,0.49545,0.16453,0.09533,0.04446,2.3992,3.4525,2.537,0.0098614,0.0098614,0.0098614
9,2.3613,3.5712,2.4345,0.35047,0.1943,0.1235,0.06593,2.358,3.2506,2.4866,0.0098416,0.0098416,0.0098416
10,2.3423,3.4959,2.4143,0.50749,0.17328,0.11053,0.04669,2.3564,3.369,2.475,0.0098218,0.0098218,0.0098218
11,2.3244,3.4347,2.3943,0.38022,0.17899,0.14102,0.06172,2.3157,3.1492,2.4408,0.009802,0.009802,0.009802
12,2.2936,3.3754,2.3565,0.35102,0.23732,0.12334,0.05582,2.2886,3.115,2.4038,0.0097822,0.0097822,0.0097822
13,2.2743,3.3205,2.3342,0.39802,0.23616,0.17729,0.0939,2.2826,2.969,2.3865,0.0097624,0.0097624,0.0097624
14,2.2487,3.2788,2.3188,0.4455,0.2195,0.19201,0.09342,2.2172,3.0253,2.3544,0.0097426,0.0097426,0.0097426
15,2.2384,3.2366,2.2979,0.40442,0.21142,0.20488,0.10294,2.2197,2.8775,2.3296,0.0097228,0.0097228,0.0097228
16,2.2229,3.1881,2.2931,0.42315,0.2309,0.17619,0.07284,2.2258,2.8433,2.3372,0.009703,0.009703,0.009703
17,2.2053,3.1345,2.2642,0.45445,0.26183,0.17949,0.07799,2.1721,2.8066,2.2994,0.0096832,0.0096832,0.0096832
18,2.1898,3.0993,2.261,0.50181,0.26058,0.21445,0.0967,2.1801,2.8151,2.3201,0.0096634,0.0096634,0.0096634
19,2.1689,3.065,2.2406,0.49926,0.25971,0.21036,0.09721,2.1808,2.8178,2.3115,0.0096436,0.0096436,0.0096436
20,2.1588,3.0263,2.2327,0.48978,0.26995,0.24167,0.10937,2.166,2.6546,2.3031,0.0096238,0.0096238,0.0096238
21,2.1469,2.9764,2.2138,0.51305,0.29657,0.25606,0.11715,2.1613,2.6333,2.2865,0.009604,0.009604,0.009604
22,2.1288,2.9455,2.2037,0.51427,0.29625,0.26446,0.1188,2.1168,2.5966,2.2358,0.0095842,0.0095842,0.0095842
23,2.1264,2.9151,2.1892,0.51854,0.26896,0.24953,0.10413,2.1059,2.6143,2.234,0.0095644,0.0095644,0.0095644
24,2.1028,2.8764,2.1785,0.45572,0.30749,0.30832,0.14589,2.077,2.5261,2.2086,0.0095446,0.0095446,0.0095446
25,2.1,2.8697,2.1765,0.34382,0.33768,0.29563,0.14385,2.0715,2.4434,2.2111,0.0095248,0.0095248,0.0095248
26,2.0793,2.8273,2.1483,0.355,0.38968,0.27997,0.13055,2.0657,2.4924,2.2032,0.009505,0.009505,0.009505
27,2.0697,2.7865,2.1458,0.41248,0.35701,0.3289,0.14897,2.0562,2.4083,2.1952,0.0094852,0.0094852,0.0094852
28,2.0727,2.7562,2.1378,0.43284,0.43201,0.33388,0.15496,2.0378,2.3298,2.1774,0.0094654,0.0094654,0.0094654
29,2.0565,2.7244,2.1303,0.44956,0.41648,0.35667,0.1732,2.0388,2.3306,2.183,0.0094456,0.0094456,0.0094456
30,2.0468,2.6882,2.119,0.4842,0.38623,0.34439,0.15937,2.0159,2.3098,2.1496,0.0094258,0.0094258,0.0094258
31,2.04,2.6668,2.1076,0.54508,0.34018,0.34204,0.16147,2.0253,2.2849,2.1708,0.009406,0.009406,0.009406
32,2.0359,2.6437,2.1051,0.40126,0.43662,0.37071,0.18044,1.9928,2.2186,2.1364,0.0093862,0.0093862,0.0093862
33,2.0248,2.644,2.096,0.45454,0.38373,0.36332,0.18879,1.9919,2.2201,2.1337,0.0093664,0.0093664,0.0093664
34,2.0046,2.5694,2.0789,0.40872,0.40308,0.35789,0.17861,1.9768,2.2281,2.1247,0.0093466,0.0093466,0.0093466
35,2.0005,2.571,2.0819,0.46382,0.40907,0.37025,0.18536,1.9717,2.186,2.1252,0.0093268,0.0093268,0.0093268
36,1.9893,2.5367,2.0715,0.54401,0.40472,0.40836,0.19658,1.9681,2.1659,2.1227,0.009307,0.009307,0.009307
37,1.9903,2.5329,2.0678,0.52237,0.41596,0.4046,0.20143,1.9405,2.1299,2.0963,0.0092872,0.0092872,0.0092872
38,1.975,2.4867,2.053,0.49213,0.43218,0.40139,0.21059,1.9325,2.1104,2.0787,0.0092674,0.0092674,0.0092674
39,1.9677,2.4799,2.0467,0.55934,0.40946,0.41879,0.20998,1.923,2.0701,2.0709,0.0092476,0.0092476,0.0092476
40,1.9674,2.4516,2.0395,0.52348,0.42734,0.40493,0.195,1.913,2.0526,2.0678,0.0092278,0.0092278,0.0092278
41,1.9658,2.4451,2.0394,0.51978,0.42149,0.4067,0.19713,1.9277,2.0634,2.084,0.009208,0.009208,0.009208
42,1.9435,2.38,2.0121,0.53637,0.47246,0.43119,0.20483,1.9097,2.0642,2.06,0.0091882,0.0091882,0.0091882
43,1.9437,2.3905,2.0148,0.46639,0.42885,0.42654,0.21536,1.8879,2.0203,2.0269,0.0091684,0.0091684,0.0091684
44,1.928,2.361,2.0139,0.49977,0.45262,0.44776,0.21198,1.9041,2.0078,2.0538,0.0091486,0.0091486,0.0091486
45,1.9296,2.3429,1.9994,0.55006,0.4484,0.42965,0.21146,1.8875,1.9861,2.0325,0.0091288,0.0091288,0.0091288
46,1.9165,2.3291,1.9987,0.62344,0.46557,0.44675,0.22648,1.8769,1.9791,2.0354,0.009109,0.009109,0.009109
47,1.918,2.3177,2.0042,0.61513,0.45237,0.47153,0.23369,1.888,1.9206,2.0485,0.0090892,0.0090892,0.0090892
48,1.9137,2.2829,1.9882,0.60784,0.46055,0.46873,0.22772,1.8733,1.9108,2.0288,0.0090694,0.0090694,0.0090694
49,1.8958,2.2712,1.9778,0.61698,0.44663,0.45542,0.22354,1.8853,1.9151,2.0337,0.0090496,0.0090496,0.0090496
50,1.8877,2.2426,1.9675,0.5695,0.47015,0.47478,0.24637,1.8704,1.8858,2.0136,0.0090298,0.0090298,0.0090298
51,1.8926,2.226,1.9752,0.62912,0.48705,0.47726,0.25403,1.8635,1.9002,2.013,0.00901,0.00901,0.00901
52,1.8847,2.2015,1.96,0.6075,0.44498,0.46941,0.24406,1.8646,1.8783,2.0138,0.0089902,0.0089902,0.0089902
53,1.8846,2.2024,1.9655,0.59767,0.46136,0.4751,0.23685,1.8533,1.8544,2.0067,0.0089704,0.0089704,0.0089704
54,1.8846,2.1827,1.9679,0.55676,0.49605,0.49396,0.24258,1.8526,1.8478,2.0109,0.0089506,0.0089506,0.0089506
55,1.8777,2.174,1.954,0.57894,0.48637,0.4792,0.24175,1.8442,1.8344,1.9996,0.0089308,0.0089308,0.0089308
56,1.867,2.1448,1.9452,0.58343,0.50048,0.48964,0.23986,1.8416,1.8321,1.9964,0.008911,0.008911,0.008911
57,1.8613,2.1254,1.9281,0.50291,0.52417,0.47929,0.23888,1.8564,1.8187,2.0004,0.0088912,0.0088912,0.0088912
58,1.8464,2.128,1.9303,0.62188,0.48604,0.50124,0.25513,1.8307,1.7943,1.9781,0.0088714,0.0088714,0.0088714
59,1.8448,2.1112,1.9255,0.58574,0.50013,0.50529,0.26677,1.8305,1.7882,1.982,0.0088516,0.0088516,0.0088516
60,1.8386,2.0877,1.9242,0.63794,0.51032,0.5128,0.26468,1.8299,1.7794,1.9855,0.0088318,0.0088318,0.0088318
61,1.8316,2.0772,1.9136,0.61582,0.52116,0.52206,0.26729,1.824,1.7832,1.9766,0.008812,0.008812,0.008812
62,1.832,2.0604,1.907,0.60675,0.52813,0.52269,0.27989,1.81,1.756,1.9636,0.0087922,0.0087922,0.0087922
63,1.8299,2.0876,1.9142,0.62103,0.50178,0.52732,0.28045,1.8141,1.7584,1.9733,0.0087724,0.0087724,0.0087724
64,1.8263,2.0364,1.9035,0.59019,0.50119,0.5187,0.26994,1.8102,1.7535,1.9707,0.0087526,0.0087526,0.0087526
65,1.8106,2.0416,1.9071,0.62402,0.51635,0.51679,0.26766,1.8093,1.7339,1.9659,0.0087328,0.0087328,0.0087328
66,1.8126,2.0102,1.8944,0.62779,0.52253,0.5429,0.2844,1.7935,1.7262,1.9526,0.008713,0.008713,0.008713
67,1.8108,2.0022,1.8905,0.62447,0.53451,0.53353,0.27513,1.8053,1.728,1.961,0.0086932,0.0086932,0.0086932
68,1.795,1.99,1.8871,0.60198,0.5317,0.53182,0.2732,1.8053,1.7255,1.9601,0.0086734,0.0086734,0.0086734
69,1.799,1.9628,1.8732,0.65294,0.51109,0.54261,0.27849,1.8026,1.7063,1.9506,0.0086536,0.0086536,0.0086536
70,1.785,1.9654,1.8768,0.61265,0.51839,0.54045,0.29082,1.8013,1.6952,1.9475,0.0086338,0.0086338,0.0086338
71,1.7793,1.9648,1.8655,0.59333,0.53976,0.54978,0.29529,1.7966,1.6884,1.9438,0.008614,0.008614,0.008614
72,1.7853,1.9495,1.8714,0.55739,0.57501,0.55621,0.29538,1.7922,1.6734,1.9368,0.0085942,0.0085942,0.0085942
73,1.7776,1.9243,1.8621,0.64526,0.52564,0.56253,0.29246,1.7855,1.6635,1.9315,0.0085744,0.0085744,0.0085744
74,1.7725,1.9066,1.856,0.64411,0.51335,0.55485,0.29244,1.7881,1.6571,1.9349,0.0085546,0.0085546,0.0085546
75,1.7602,1.8908,1.8544,0.65582,0.52676,0.55227,0.2897,1.7922,1.6502,1.9373,0.0085348,0.0085348,0.0085348
76,1.7571,1.9023,1.8481,0.6614,0.52066,0.55594,0.29373,1.7895,1.64,1.9423,0.008515,0.008515,0.008515
77,1.7698,1.8977,1.8538,0.67002,0.51525,0.55883,0.29262,1.7895,1.6438,1.9428,0.0084952,0.0084952,0.0084952
78,1.7499,1.8714,1.8337,0.69937,0.4839,0.55382,0.292,1.7878,1.6454,1.941,0.0084754,0.0084754,0.0084754
79,1.7549,1.8673,1.8412,0.63392,0.54161,0.55708,0.29671,1.7864,1.6477,1.9397,0.0084556,0.0084556,0.0084556
80,1.7452,1.8331,1.8283,0.67295,0.53044,0.55785,0.3018,1.779,1.6357,1.9352,0.0084358,0.0084358,0.0084358
81,1.7366,1.8295,1.8301,0.68008,0.54754,0.56323,0.30672,1.7758,1.6226,1.9328,0.008416,0.008416,0.008416
82,1.7317,1.834,1.8262,0.70207,0.53498,0.57318,0.3107,1.7716,1.6124,1.9296,0.0083962,0.0083962,0.0083962
83,1.7254,1.8216,1.8138,0.68491,0.54467,0.57189,0.3128,1.7739,1.61,1.9318,0.0083764,0.0083764,0.0083764
84,1.7251,1.8351,1.8169,0.69453,0.53723,0.58266,0.32385,1.7682,1.6085,1.9251,0.0083566,0.0083566,0.0083566
85,1.7208,1.8133,1.8071,0.69425,0.54439,0.57819,0.32557,1.7654,1.6069,1.9214,0.0083368,0.0083368,0.0083368
86,1.722,1.792,1.8116,0.70036,0.53924,0.57624,0.32339,1.762,1.6059,1.9169,0.008317,0.008317,0.008317
87,1.7139,1.7808,1.8004,0.70122,0.54961,0.58292,0.32992,1.7596,1.6045,1.9143,0.0082972,0.0082972,0.0082972
88,1.7174,1.7685,1.8021,0.70483,0.54927,0.5855,0.33281,1.7609,1.6004,1.913,0.0082774,0.0082774,0.0082774
89,1.7039,1.7549,1.7972,0.68056,0.56856,0.58884,0.33487,1.7591,1.5938,1.9107,0.0082576,0.0082576,0.0082576
90,1.6986,1.7619,1.798,0.68329,0.57513,0.59468,0.33825,1.7582,1.5893,1.9106,0.0082378,0.0082378,0.0082378
91,1.6985,1.7577,1.7916,0.67252,0.58197,0.59136,0.33768,1.7536,1.5828,1.9068,0.008218,0.008218,0.008218
92,1.6874,1.7353,1.7842,0.69715,0.57708,0.5966,0.34158,1.7546,1.5751,1.9067,0.0081982,0.0081982,0.0081982
93,1.6894,1.7074,1.7762,0.70486,0.57179,0.59351,0.33884,1.7546,1.5713,1.9065,0.0081784,0.0081784,0.0081784
94,1.6818,1.7244,1.7787,0.70175,0.57393,0.59506,0.33271,1.7527,1.5702,1.9043,0.0081586,0.0081586,0.0081586
95,1.6863,1.7194,1.7747,0.70086,0.58159,0.59277,0.33896,1.7491,1.5678,1.9016,0.0081388,0.0081388,0.0081388
96,1.6676,1.6993,1.7611,0.70911,0.57484,0.59092,0.33811,1.7464,1.5648,1.8996,0.008119,0.008119,0.008119
97,1.672,1.6805,1.7632,0.71023,0.5746,0.59227,0.33851,1.7447,1.5623,1.8984,0.0080992,0.0080992,0.0080992
98,1.6681,1.677,1.7566,0.70452,0.57406,0.58951,0.33861,1.7442,1.5605,1.8973,0.0080794,0.0080794,0.0080794
99,1.6608,1.6674,1.7547,0.72454,0.56724,0.59661,0.33976,1.7445,1.5561,1.8973,0.0080596,0.0080596,0.0080596
100,1.6528,1.6795,1.7545,0.73521,0.56418,0.59972,0.33771,1.7431,1.554,1.8959,0.0080398,0.0080398,0.0080398
101,1.6511,1.6502,1.7516,0.70034,0.57995,0.59962,0.34123,1.7426,1.5531,1.8951,0.00802,0.00802,0.00802
102,1.6641,1.6685,1.7583,0.71047,0.57734,0.60273,0.33861,1.7442,1.5507,1.8954,0.0080002,0.0080002,0.0080002
103,1.6537,1.667,1.7597,0.70256,0.56968,0.59682,0.3404,1.7441,1.5514,1.8949,0.0079804,0.0079804,0.0079804
104,1.6435,1.6248,1.7365,0.69382,0.57039,0.59826,0.34257,1.7437,1.5475,1.8945,0.0079606,0.0079606,0.0079606
105,1.637,1.6266,1.7357,0.68803,0.58066,0.6014,0.34433,1.7426,1.5459,1.8936,0.0079408,0.0079408,0.0079408
106,1.6363,1.6301,1.7355,0.65768,0.59578,0.59966,0.34466,1.7422,1.5426,1.8935,0.007921,0.007921,0.007921
107,1.63,1.6135,1.7335,0.66791,0.59631,0.60086,0.34344,1.7425,1.5408,1.894,0.0079012,0.0079012,0.0079012
108,1.6355,1.6066,1.7337,0.66411,0.59856,0.60043,0.34513,1.7429,1.5401,1.8937,0.0078814,0.0078814,0.0078814
109,1.613,1.5737,1.7189,0.67438,0.59469,0.60946,0.34733,1.7424,1.5376,1.8935,0.0078616,0.0078616,0.0078616
110,1.6241,1.5911,1.7237,0.69267,0.59984,0.61075,0.34564,1.7415,1.5362,1.8933,0.0078418,0.0078418,0.0078418
111,1.6175,1.5688,1.7146,0.69278,0.60059,0.61168,0.34798,1.7421,1.5345,1.894,0.007822,0.007822,0.007822
112,1.6193,1.5782,1.7142,0.7021,0.6031,0.61433,0.34754,1.7421,1.5334,1.8943,0.0078022,0.0078022,0.0078022
113,1.6048,1.5731,1.7016,0.7037,0.59601,0.61501,0.34791,1.7416,1.5327,1.8937,0.0077824,0.0077824,0.0077824
114,1.6129,1.5579,1.7075,0.70657,0.5945,0.61648,0.34749,1.7422,1.529,1.894,0.0077626,0.0077626,0.0077626
115,1.6163,1.5603,1.7097,0.71892,0.59081,0.61776,0.3449,1.7413,1.527,1.893,0.0077428,0.0077428,0.0077428
116,1.6,1.5472,1.7021,0.71664,0.5921,0.6175,0.34227,1.7408,1.526,1.8921,0.007723,0.007723,0.007723
117,1.5987,1.5391,1.7007,0.71972,0.59134,0.61879,0.34299,1.7414,1.5245,1.8926,0.0077032,0.0077032,0.0077032
118,1.5977,1.538,1.6998,0.72274,0.5899,0.62149,0.34397,1.742,1.5235,1.8937,0.0076834,0.0076834,0.0076834
119,1.5918,1.5216,1.6939,0.72222,0.58976,0.62357,0.34466,1.7408,1.5236,1.8927,0.0076636,0.0076636,0.0076636
120,1.5825,1.5128,1.683,0.72172,0.58869,0.62041,0.34241,1.7409,1.5228,1.8923,0.0076438,0.0076438,0.0076438
121,1.5827,1.5096,1.681,0.7221,0.58818,0.62051,0.34178,1.7406,1.5216,1.8928,0.007624,0.007624,0.007624
122,1.5821,1.5028,1.69,0.72275,0.58909,0.6214,0.34346,1.7386,1.5195,1.89,0.0076042,0.0076042,0.0076042
123,1.5768,1.4735,1.6784,0.73155,0.58676,0.6236,0.34245,1.7384,1.5176,1.8901,0.0075844,0.0075844,0.0075844
124,1.5779,1.5079,1.6875,0.7347,0.58327,0.62187,0.34296,1.7384,1.5164,1.8897,0.0075646,0.0075646,0.0075646
125,1.5649,1.4952,1.6687,0.73551,0.58329,0.62403,0.3427,1.7379,1.5146,1.8891,0.0075448,0.0075448,0.0075448
126,1.566,1.4944,1.6744,0.75402,0.5814,0.62549,0.34405,1.7378,1.5135,1.8894,0.007525,0.007525,0.007525
127,1.5574,1.4753,1.6599,0.73952,0.58107,0.62427,0.34401,1.7382,1.5125,1.8893,0.0075052,0.0075052,0.0075052
128,1.5595,1.4713,1.6632,0.7034,0.59995,0.62434,0.34305,1.7385,1.5131,1.8897,0.0074854,0.0074854,0.0074854
